Job_ID,Job_Title,Required_Skills,Qualifications,Job_Description,Location,Employment_Type
JOB064,Kitchen Assistant,"cooking, food preparation, cleanliness, teamwork",Basic food preparation skills,"Food preparation, cleaning, kitchen assistance","Bay, Laguna",Work-from-home
JOB065,Junior Web Developer,"HTML, CSS, JavaScript, web development",IT or computer-related education,"Creating webpages, website editing, basic coding","Biñan, Laguna",Full-time
JOB066,Accounting Assistant,"Excel, bookkeeping, accounting, organization",Accounting or business-related education,"Recording transactions, spreadsheets, filing","Los Baños, Laguna",Part-time
JOB067,Content Writer,"writing, English, research, proofreading","Communication, English, or related education","Writing articles, researching, proofreading","Calamba, Laguna",Contract
JOB068,Social Media Assistant,"social media, Canva, communication, creativity",Marketing or related skills preferred,"Creating posts, managing pages, digital content","Santa Rosa, Laguna",Work-from-home
JOB069,Inventory Assistant,"inventory, Excel, organization, record keeping",Basic computer and inventory skills,"Recording stocks, checking inventory, updating records","Bay, Laguna",Full-time
JOB070,Online Tutor,"teaching, communication, patience, English",Education or subject-related knowledge,"Online lessons, explaining topics, preparing materials","Biñan, Laguna",Part-time
JOB071,Administrative Assistant,"typing, Word, Excel, filing, organization",Office administration or equivalent experience,"Document preparation, filing, data entry","Los Baños, Laguna",Contract
JOB072,Sales Assistant,"sales, communication, customer service, persuasion",Customer service or sales experience preferred,"Assisting customers, explaining products, processing sales","Calamba, Laguna",Work-from-home
JOB073,Photo Editor,"photography, photo editing, Photoshop, creativity",Portfolio or relevant experience,"Editing photographs, enhancing images, organizing media","Santa Rosa, Laguna",Full-time
JOB074,Bookkeeping Assistant,"bookkeeping, Excel, organization, mathematics",Accounting or bookkeeping knowledge,"Recording transactions, organizing financial records","Bay, Laguna",Part-time
JOB075,Office Assistant,"computer literacy, typing, communication, email","Basic computer skills, college level preferred","Email handling, encoding documents, file organization","Biñan, Laguna",Contract
JOB076,Junior Programmer,"programming, Python, Java, problem solving",IT or computer-related education,"Writing basic programs, debugging, testing applications","Los Baños, Laguna",Work-from-home
JOB077,Customer Support Agent,"customer service, English, communication, patience",Good communication and basic computer skills,"Handling inquiries, providing support, documenting concerns","Calamba, Laguna",Full-time
JOB078,Bakery Assistant,"baking, food preparation, teamwork, cleanliness",Basic baking or food preparation skills,"Baking assistance, ingredient preparation, cleaning","Santa Rosa, Laguna",Part-time
JOB079,Research Assistant,"writing, research, Word, proofreading",Research and documentation skills,"Online research, organizing information, preparing reports","Bay, Laguna",Contract
JOB080,Inventory Clerk,"Excel, inventory, typing, organization",Basic computer and inventory knowledge,"Recording products, updating inventory databases, stock records","Biñan, Laguna",Work-from-home
JOB081,Data Entry Clerk,"typing, data entry, Microsoft Office, communication",College level or graduate,"Encoding documents, organizing files, spreadsheet use","Los Baños, Laguna",Full-time
JOB082,Customer Service Representative,"customer service, communication, computer skills, English",Senior High School graduate,"Answering inquiries, resolving concerns, assisting customers","Calamba, Laguna",Part-time
JOB083,Graphic Designer,"graphic design, Canva, Photoshop, creativity",Design-related education or portfolio,"Creating posters, editing images, social media graphics","Santa Rosa, Laguna",Contract
JOB084,Kitchen Assistant,"cooking, food preparation, cleanliness, teamwork",Basic food preparation skills,"Food preparation, cleaning, kitchen assistance","Bay, Laguna",Work-from-home
JOB085,Junior Web Developer,"HTML, CSS, JavaScript, web development",IT or computer-related education,"Creating webpages, website editing, basic coding","Biñan, Laguna",Full-time
JOB086,Accounting Assistant,"Excel, bookkeeping, accounting, organization",Accounting or business-related education,"Recording transactions, spreadsheets, filing","Los Baños, Laguna",Part-time
JOB087,Content Writer,"writing, English, research, proofreading","Communication, English, or related education","Writing articles, researching, proofreading","Calamba, Laguna",Contract
JOB088,Social Media Assistant,"social media, Canva, communication, creativity",Marketing or related skills preferred,"Creating posts, managing pages, digital content","Santa Rosa, Laguna",Work-from-home
JOB089,Inventory Assistant,"inventory, Excel, organization, record keeping",Basic computer and inventory skills,"Recording stocks, checking inventory, updating records","Bay, Laguna",Full-time
JOB090,Online Tutor,"teaching, communication, patience, English",Education or subject-related knowledge,"Online lessons, explaining topics, preparing materials","Biñan, Laguna",Part-time
JOB091,Administrative Assistant,"typing, Word, Excel, filing, organization",Office administration or equivalent experience,"Document preparation, filing, data entry","Los Baños, Laguna",Contract
JOB092,Sales Assistant,"sales, communication, customer service, persuasion",Customer service or sales experience preferred,"Assisting customers, explaining products, processing sales","Calamba, Laguna",Work-from-home
JOB093,Photo Editor,"photography, photo editing, Photoshop, creativity",Portfolio or relevant experience,"Editing photographs, enhancing images, organizing media","Santa Rosa, Laguna",Full-time
JOB094,Bookkeeping Assistant,"bookkeeping, Excel, organization, mathematics",Accounting or bookkeeping knowledge,"Recording transactions, organizing financial records","Bay, Laguna",Part-time
JOB095,Office Assistant,"computer literacy, typing, communication, email","Basic computer skills, college level preferred","Email handling, encoding documents, file organization","Biñan, Laguna",Contract
JOB096,Junior Programmer,"programming, Python, Java, problem solving",IT or computer-related education,"Writing basic programs, debugging, testing applications","Los Baños, Laguna",Work-from-home
JOB097,Customer Support Agent,"customer service, English, communication, patience",Good communication and basic computer skills,"Handling inquiries, providing support, documenting concerns","Calamba, Laguna",Full-time
JOB098,Bakery Assistant,"baking, food preparation, teamwork, cleanliness",Basic baking or food preparation skills,"Baking assistance, ingredient preparation, cleaning","Santa Rosa, Laguna",Part-time
JOB099,Research Assistant,"writing, research, Word, proofreading",Research and documentation skills,"Online research, organizing information, preparing reports","Bay, Laguna",Contract
JOB100,Inventory Clerk,"Excel, inventory, typing, organization",Basic computer and inventory knowledge,"Recording products, updating inventory databases, stock records","Biñan, Laguna",Work-from-home
