pwd_id,job_id,skill_coverage,suitability_fraction,education_fraction,semantic_similarity,disability_listed,label,label_gated,score
PWD-LB-2024-0048,JOB-002,0.0000,0.2100,1.0000,0.1294,0,0,0,23
PWD-LB-2024-0048,JOB-003,0.6000,0.5600,1.0000,0.2266,0,1,1,56
PWD-LB-2024-0048,JOB-004,0.2500,0.2100,1.0000,0.2557,0,0,0,35
PWD-LB-2024-0048,JOB-005,0.7500,0.2100,1.0000,0.7141,0,1,1,64
PWD-LB-2024-0048,JOB-006,1.0000,0.2100,1.0000,1.0000,0,1,1,80
PWD-LB-2024-0048,JOB-007,0.0800,0.2100,1.0000,0.0000,0,0,0,23
PWD-LB-2024-0048,JOB-008,0.1000,0.5600,1.0000,0.0000,0,0,0,33
PWD-LB-2024-0048,JOB-009,0.0000,0.5600,1.0000,0.0000,0,0,0,29
PWD-LB-2024-0048,JOB-010,0.0000,0.5600,1.0000,0.0000,0,0,0,29
PWD-LB-2024-0048,JOB-011,0.0000,0.5600,1.0000,0.0000,0,0,0,29
PWD-LB-2024-0048,JOB-012,0.0000,0.5600,1.0000,0.0000,0,0,0,29
PWD-LB-2024-0048,JOB-013,0.0000,0.5600,1.0000,0.0000,0,0,0,29
